1      Tuvalu                                                                                               
2      Kiribati                                                                                             
3      Greenland                                          71.0                                              
4      Andorra                                            69.0                                              
5      Micronesia, Federated States of                    66.4                                              
6      Palau                                              66.1                                              
7      Marshall Islands                                   63.8                                              
8      Cuba                                               62.3                                              
9      Iceland                                            58.4                                              
10     Finland                                            54.2                                              
11     Norway                                             54.2                                              
12     France                                             53.1                                              
13     Denmark                                            52.9                                              
14     Sweden                                             51.0                                              
15     Belgium                                            50.7                                              
16     Greece                                             49.8                                              
17     Austria                                            49.5                                              
18     Anguilla                                           48.1                                              
19     Croatia                                            47.6                                              
20     Italy                                              47.1                                              
21     European Union                                     45.2                                              
22     Hungary                                            45.1                                              
23     Germany                                            45.1                                              
24     Netherlands                                        44.2                                              
25     Bosnia and Herzegovina                             44.1                                              
26     Serbia                                             43.9                                              
27     Maldives                                           43.8                                              
28     Slovenia                                           43.6                                              
29     Kuwait                                             43.2                                              
30     Luxembourg                                         43.1                                              
31     Portugal                                           43.0                                              
32     Bolivia                                            41.9                                              
33     San Marino                                         41.9                                              
34     Saint Kitts and Nevis                              41.0                                              
35     Falkland Islands (Islas Malvinas)                  40.8                                              
36     Estonia                                            40.7                                              
37     Lesotho                                            40.5                                              
38     Czechia                                            40.5                                              
39     Belarus                                            40.1                                              
40     Slovakia                                           40.0                                              
41     French Polynesia                                   39.4                                              
42     Cyprus                                             39.2                                              
43     United Kingdom                                     39.2                                              
44     Malta                                              39.0                                              
45     Canada                                             38.8                                              
46     Seychelles                                         38.5                                              
47     Spain                                              37.9                                              
48     New Zealand                                        37.6                                              
49     Cayman Islands                                     37.6                                              
50     Montenegro                                         36.8                                              
51     Bulgaria                                           36.6                                              
52     Latvia                                             36.4                                              
53     Solomon Islands                                    36.2                                              
54     Brazil                                             35.9                                              
55     Cook Islands                                       35.6                                              
56     Switzerland                                        34.9                                              
57     Lithuania                                          34.5                                              
58     Venezuela                                          34.4                                              
59     Australia                                          34.3                                              
60     Botswana                                           34.2                                              
61     Moldova                                            34.2                                              
62     Japan                                              34.1                                              
63     Tonga                                              33.6                                              
64     Namibia                                            32.9                                              
65     Ukraine                                            32.9                                              
66     Saint Pierre and Miquelon                          32.5                                              
67     Djibouti                                           32.4                                              
68     American Samoa                                     32.2                                              
69     Tajikistan                                         32.2                                              
70     Trinidad and Tobago                                32.1                                              
71     Uzbekistan                                         32.1                                              
72     Belize                                             31.6                                              
73     Oman                                               31.3                                              
74     Iraq                                               31.2                                              
75     Ecuador                                            30.9                                              
76     Bhutan                                             30.8                                              
